nodeId:ID,name,type:LABEL,description
AD,Alzheimer's Disease,Disease,Most common cause of dementia worldwide; biologically defined by amyloid plaques and neurofibrillary tangles
Dementia,Dementia,Disease,Umbrella syndrome of acquired cognitive decline affecting daily function
VascularDementia,Vascular Dementia,Disease,"Second most common dementia subtype, driven by cerebrovascular disease"
MixedDementia,Mixed Dementia,Disease,"Co-occurrence of more than one dementia pathology, most often AD plus vascular dementia"
MCI,Mild Cognitive Impairment,Disease,Prodromal cognitive decline stage; amnestic MCI often precedes AD
DownSyndrome,Down Syndrome,Disease,Trisomy 21 condition; extra APP gene copy links it to the amyloid hypothesis
AmyloidBeta,Amyloid-beta (Abeta),Protein,Peptide fragment of APP that aggregates into amyloid plaques; core AD biomarker
APP,Amyloid Precursor Protein / APP gene,Protein_Gene,Transmembrane protein cleaved to release amyloid-beta; gene on chromosome 21
TauProtein,Tau Protein,Protein,Microtubule-stabilizing protein; hyperphosphorylated form aggregates into tangles
NFT,Neurofibrillary Tangles,Pathology,Intracellular aggregates of hyperphosphorylated tau; hallmark AD pathology
AmyloidPlaques,Amyloid Plaques,Pathology,Extracellular aggregates of amyloid-beta fibrils; hallmark AD pathology
APOE,Apolipoprotein E (APOE),Protein_Gene,Lipid-transport protein/gene; allele status is the major genetic risk modifier for sporadic AD
APOE_e4,APOE epsilon-4 allele,GeneVariant,Strongest common genetic risk factor for sporadic AD
APOE_e2,APOE epsilon-2 allele,GeneVariant,Strongest common genetic protective factor against AD
PSEN1,Presenilin 1 (PSEN1),Gene,Gene on chromosome 14; mutations cause autosomal-dominant familial AD
PSEN2,Presenilin 2 (PSEN2),Gene,Gene on chromosome 1; mutations cause autosomal-dominant familial AD
Chr21,Chromosome 21,Chromosome,Carries the APP gene; triplicated in Down syndrome
Chr14,Chromosome 14,Chromosome,Carries the PSEN1 gene
Chr1,Chromosome 1,Chromosome,Carries the PSEN2 gene
Hippocampus,Hippocampus,BrainRegion,Brain region for memory formation; earliest major atrophy site in AD
Microglia,Microglia,CellType,Brain innate-immune cells; mediate neuroinflammation and interact with Abeta and tau
Neuroinflammation,Neuroinflammation,Mechanism,"Innate immune activation implicated in AD pathogenesis, partly independent of amyloid"
