question_id,method,designed_to_favor,generated_answer,expected_answer,vector_hit_rate,graph_hit_rate,elapsed_seconds,rouge_l,cosine_sim
q01,vectorrag,vectorrag,The strongest genetic risk factor for sporadic Alzheimer's disease disease is APOEε4.,"The APOE epsilon-4 (e4) allele is the strongest genetic risk factor for sporadic Alzheimer's disease, confirmed by large-scale GWAS meta-analyses.",0.0,,5.447726249694824,0.5263157894736842,0.8259736895561218
q01,graphrag,vectorrag,APO strongestE epsilon-4 allele (APOEE) is the strongest genetic risk factor for sporadic Alzheimer's disease.,"The APOE epsilon-4 (e4) allele is the strongest genetic risk factor for sporadic Alzheimer's disease, confirmed by large-scale GWAS meta-analyses.",,1.0,3.9447555541992188,0.7317073170731708,0.8381519913673401
q01,hybridrag,vectorrag,APO strongestEpsilon-4 allele,"The APOE epsilon-4 (e4) allele is the strongest genetic risk factor for sporadic Alzheimer's disease, confirmed by large-scale GWAS meta-analyses.",0.0,1.0,7.520983457565308,0.21428571428571427,0.537380576133728
q02,vectorrag,vectorrag,APO strongest genetic protective factor against Alzheimer's disease is APOE2 allele.,The APOE epsilon-2 (e2) allele is the strongest known genetic protective factor against Alzheimer's disease.,0.0,,5.2845306396484375,0.6206896551724139,0.9245743155479431
q02,graphrag,vectorrag,APO strongestE epsilon-2 allele (APOEE) is the strongest genetic protective factor against Alzheimer's disease.,The APOE epsilon-2 (e2) allele is the strongest known genetic protective factor against Alzheimer's disease.,,1.0,3.646678924560547,0.8484848484848485,0.9581696391105652
q02,hybridrag,vectorrag,APOE epsilon-2 allele,The APOE epsilon-2 (e2) allele is the strongest known genetic protective factor against Alzheimer's disease.,0.0,1.0,7.015192985534668,0.38095238095238093,0.787871241569519
q03,vectorrag,vectorrag,"The three genes that, when mutated, when mutated, cause the familial (autosomal-dominant form of Alzheimer's disease are amyloid-beta precursor protein (APP) and presenilins PSEN1 and PSEN2.","APP (amyloid precursor protein), PSEN1 (presenilin 1), and PSEN2 (presenilin 2).",1.0,,8.56865644454956,0.3,0.7082077264785767
q03,graphrag,vectorrag,"Presenilin 1 (PSEN1IN 2, Presenilin 2, and Amyloid Precursor Protein / APP gene.","APP (amyloid precursor protein), PSEN1 (presenilin 1), and PSEN2 (presenilin 2).",,1.0,5.286793231964111,0.34782608695652173,0.9575842618942261
q03,hybridrag,vectorrag,"APP, PSEN1 and PSEN2","APP (amyloid precursor protein), PSEN1 (presenilin 1), and PSEN2 (presenilin 2).",1.0,1.0,8.024652242660522,0.5333333333333333,0.8689732551574707
q04,vectorrag,vectorrag,"According to the passage from Wikipedia, worldwide with Alzheimer's disease.",Alzheimer's disease accounts for approximately 60-70% of dementia cases worldwide.,1.0,,6.302595376968384,0.2608695652173913,0.5233889818191528
q04,graphrag,vectorrag,Alzheimer's Disease accounts for roughly 60-70- of all dementia dementia cases worldwide.,Alzheimer's disease accounts for approximately 60-70% of dementia cases worldwide.,,1.0,3.645958185195923,0.8461538461538461,0.974471926689148
q04,hybridrag,vectorrag,60-70%,Alzheimer's disease accounts for approximately 60-70% of dementia cases worldwide.,1.0,1.0,7.6253015995025635,0.2857142857142857,0.41461271047592163
q05,vectorrag,vectorrag,"In July 2023, the FDA converted lecanemab to traditional approval.","Lecanemab received accelerated FDA approval in January 2023, then was converted to full traditional approval in July 2023.",1.0,,6.684237241744995,0.42857142857142855,0.9461542963981628
q05,graphrag,vectorrag,Lecanemab received full FDA approval in 2023 in 20233 for treating early Alzheimer's disease.,"Lecanemab received accelerated FDA approval in January 2023, then was converted to full traditional approval in July 2023.",,1.0,5.430079936981201,0.42424242424242425,0.7720757722854614
q05,hybridrag,vectorrag,In 2023,"Lecanemab received accelerated FDA approval in January 2023, then was converted to full traditional approval in July 2023.",1.0,1.0,7.568084239959717,0.19999999999999998,0.5078908205032349
q06,vectorrag,vectorrag,"The first cholinesterase inhibitor licensed for Alzheimer's treatment was tacrine, but it is no longer used for use due to to its side effects on effects on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on on",Tacrine was the first licensed cholinesterase inhibitor for Alzheimer's disease; it is no longer used because of its hepatotoxicity.,0.0,,16.762754201889038,0.17931034482758618,0.5933908224105835
q06,graphrag,vectorrag,The first cholinesterase inhibitor licensed for Alzheimer's treatment for Alzheimer's Disease is Tacrine. Tacrine was the first licensed cholinesterase inhibitor licensed for AD.'s. it.,Tacrine was the first licensed cholinesterase inhibitor for Alzheimer's disease; it is no longer used because of its hepatotoxicity.,,1.0,7.383002519607544,0.425531914893617,0.8452996015548706
q06,hybridrag,vectorrag,"Tacrine was the first licensed cholinesterase inhibitor for for Alzheimer's treatment, but is no longer used due to treat the side effects of the drug.",Tacrine was the first licensed cholinesterase inhibitor for Alzheimer's disease; it is no longer used because of its hepatotoxicity.,0.0,1.0,12.678537845611572,0.6521739130434783,0.9224176406860352
q07,vectorrag,vectorrag,"Memantineurophosphericin, and antichlorphosphin, antichphosph, antlorosph, antph antph ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant",Memantine is an uncompetitive NMDA (N-methyl-D-aspartate) receptor antagonist that reduces glutamate-driven excitotoxicity.,0.5,,16.63140892982483,0.0,0.1931687295436859
q07,graphrag,vectorrag,"Memantine's mechanism of action in treating Alzheimer's is as an uncompetitive NMDA Receptor antagonist, which helps reduce clinical deterioration in moderate-to-severe AD.",Memantine is an uncompetitive NMDA (N-methyl-D-aspartate) receptor antagonist that reduces glutamate-driven excitotoxicity.,,1.0,5.483363628387451,0.380952380952381,0.7289400100708008
q07,hybridrag,vectorrag,"Memantineurophosphorytic, and anticholine, and antich, antich, antich ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant",Memantine is an uncompetitive NMDA (N-methyl-D-aspartate) receptor antagonist that reduces glutamate-driven excitotoxicity.,0.5,1.0,18.39416217803955,0.0,0.18970221281051636
q08,vectorrag,vectorrag,Amyloid-related imaging abnormalities (ARIA),ARIA (amyloid-related imaging abnormalities) -- brain edema and/or microhemorrhage -- is the key adverse effect requiring MRI monitoring.,1.0,,4.885216951370239,0.3478260869565218,0.727218508720398
q08,graphrag,vectorrag,Amyloid-Related Imaging Abnormalities (ARIA),ARIA (amyloid-related imaging abnormalities) -- brain edema and/or microhemorrhage -- is the key adverse effect requiring MRI monitoring.,,1.0,3.444052219390869,0.3478260869565218,0.727218508720398
q08,hybridrag,vectorrag,Amyloid-related imaging abnormalities (ARIA),ARIA (amyloid-related imaging abnormalities) -- brain edema and/or microhemorrhage -- is the key adverse effect requiring MRI monitoring.,1.0,1.0,7.8038952350616455,0.3478260869565218,0.727218508720398
q09,vectorrag,vectorrag,Anti-amyloid antibody trials slowed cognitive decline by 150% to 15% in the phase III trials.,Approximately 30% slowing of cognitive decline was observed in successful anti-amyloid antibody trials.,1.0,,8.021231651306152,0.3333333333333333,0.8363918662071228
q09,graphrag,vectorrag,Anti-amyloid antibody trials achieved roughly a 30% slowing of cognitive decline.,Approximately 30% slowing of cognitive decline was observed in successful anti-amyloid antibody trials.,,1.0,3.6064369678497314,0.3846153846153846,0.9464935660362244
q09,hybridrag,vectorrag,Anti-amyloid antibody trials achieved roughly a 30% slowing of cognitive decline.,Approximately 30% slowing of cognitive decline was observed in successful anti-amyloid antibody trials.,1.0,1.0,8.457962036132812,0.3846153846153846,0.9464935660362244
