:START_ID,:END_ID,:TYPE,source_articles,evidence
AmyloidPlaques,AD,HALLMARK_OF,pubmed_30135715;pubmed_33986301,AD is biologically defined by beta-amyloid plaques together with tau neurofibrillary tangles.
NFT,AD,HALLMARK_OF,pubmed_30135715;pubmed_33986301;pubmed_21371747,Neurofibrillary tangles of hyperphosphorylated tau are one of AD's two classic hallmark pathologies.
AmyloidBeta,AmyloidPlaques,AGGREGATES_INTO,wikipedia_amyloid_beta,Amyloid-beta oligomers aggregate into fibrils that form the plaques seen in AD brains.
TauProtein,NFT,HYPERPHOSPHORYLATED_TO_FORM,wikipedia_tau_protein,Hyperphosphorylation converts normally microtubule-stabilizing tau into insoluble tangle aggregates.
NFT,TauProtein,COMPOSED_OF,wikipedia_neurofibrillary_tangle,"Neurofibrillary tangles are composed largely of paired helical filaments of hyperphosphorylated tau, distinct from the straight-filament tau seen in other tauopathies."
APP,AmyloidBeta,CLEAVED_TO_PRODUCE,pubmed_31753135,Proteolytic cleavage of APP produces the amyloid-beta fragment central to AD pathology.
APP,Chr21,LOCATED_ON,textbook_statpearls_alzheimer_disease,The APP gene resides on chromosome 21.
PSEN1,Chr14,LOCATED_ON,textbook_statpearls_alzheimer_disease,PSEN1 is located on chromosome 14.
PSEN2,Chr1,LOCATED_ON,textbook_statpearls_alzheimer_disease,PSEN2 is located on chromosome 1.
DownSyndrome,Chr21,EXTRA_COPY_OF,textbook_statpearls_alzheimer_disease,Trisomy 21 gives an extra copy of chromosome 21 and therefore an extra APP gene copy.
DownSyndrome,AmyloidCascadeHypothesis,SUPPORTS_EVIDENCE_FOR,textbook_statpearls_alzheimer_disease,The APP triplication in Down syndrome is a key line of evidence for the amyloid hypothesis.
DownSyndrome,AD,ELEVATES_RISK_OF,textbook_statpearls_alzheimer_disease,Extra APP dosage in Down syndrome markedly raises lifetime AD risk.
PSEN1,AD,MUTATION_CAUSES,pubmed_23276979,PSEN1 mutations are one of three known causes of autosomal-dominant familial AD.
PSEN2,AD,MUTATION_CAUSES,pubmed_23276979,PSEN2 mutations are one of three known causes of autosomal-dominant familial AD.
APP,AD,MUTATION_CAUSES,pubmed_23276979,APP mutations are one of three known causes of autosomal-dominant familial AD.
APOE_e4,APOE,ALLELE_OF,wikipedia_apolipoprotein_e,APOE has three major alleles; epsilon-4 is one of them.
APOE_e2,APOE,ALLELE_OF,wikipedia_apolipoprotein_e,APOE has three major alleles; epsilon-2 is one of them.
